index	datetime	x_1_num	x_2_cat	x_3_txt	y_1_value	y_2_class	y_3_forecast
1	28/06/2020 16:31	2,00	A		6,00	A	10,50
2	28/06/2020 16:31	4,00	B		10,50	B	10,50
3	28/06/2020 16:31	5,00	C		10,50	A	5,00
4	28/06/2020 16:31	1,00	A		5,00	C	13,00
4	28/06/2020 16:31	6,00	D		13,00	B	7,50
5	28/06/2020 16:31	2,00	C		7,50	A	18,00
6	28/06/2020 16:31	7,00	D		18,00	C	20,50
7	28/06/2020 16:31	8,00	B		20,50	A	23,00
8	28/06/2020 16:31	9,00	A		23,00	B	21,00
9	28/06/2020 16:31	10,00	C		21,00	C	4,00
10	28/06/2020 16:31	2,00	B		4,00	A	0,00
